employeenumber,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework
12950,44,Yes,travel rarely,621.0,15,3,medical,1,Female,73,3,3, healthcare representative ,4,married,48620.0,14075,1,No,11,3.0,4,1,10.0,2,3.0,10,0,5,1979,Yes
13220,39,No,travel rarely,524.0,33,2,life sciences,1,Male,32,3,2, manufacturing director ,3,single,45340.0,13352,0,No,11,3.0,1,0,10.0,6,2.8,8,1,7,1984,Yes
13440,34,No,travel rarely,943.0,9,3,life sciences,4,Male,86,3,3, healthcare representative ,4,married,85000.0,5494,0,No,11,3.2,4,1,10.0,0,2.0,9,1,6,1989,Yes
13550,38,No,travel rarely,1009.0,2,2,life sciences,2,Female,31,3,2, sales executive ,1,married,48620.0,19461,3,No,15,3.0,4,1,11.0,3,3.0,7,1,7,1985,Yes
13620,36,No,travel frequently,607.0,12,3,marketing,12,Female,83,4,2, sales executive ,1,married,46390.0,2261,2,No,16,3.0,4,1,10.0,2,2.0,15,6,13,1987,Yes
13690,35,No,travel rarely,817.0,1,3,life sciences,4,Female,60,2,2, laboratory technician ,4,married,53630.0,10846,0,No,12,3.0,2,1,10.0,0,3.0,9,0,0,1988,No
13770,34,No,travel rarely,803.1,29,3,life sciences,2,Male,86,3,2, laboratory technician ,3,married,48620.0,17491,4,No,13,3.0,1,2,10.0,1,3.0,8,7,7,1989,No
14020,43,No,travel rarely,930.0,6,3,medical,1,Female,73,2,2, research scientist ,3,single,40810.0,20003,1,Yes,14,3.0,1,0,20.0,3,1.0,20,1,8,1980,No
14080,42,No,travel rarely,1147.0,10,3,human resources,3,Female,31,3,4, manager ,1,married,48620.0,16616,0,No,14,3.0,3,1,21.0,5,3.0,20,0,9,1981,No
14170,26,No,travel rarely,652.0,7,3,life sciences,3,Male,100,4,1, laboratory technician ,1,single,35780.0,23577,0,No,12,3.0,4,0,8.0,2,3.0,7,0,7,1997,Yes
14210,29,Yes,travel rarely,337.0,14,1,other,3,Female,84,3,3, healthcare representative ,4,single,48620.0,22930,0,Yes,12,3.0,1,0,10.0,1,3.0,8,7,7,1994,Yes
14220,54,No,travel rarely,971.0,1,3,life sciences,4,Female,54,3,4, research director ,4,married,173280.0,5652,6,No,19,3.0,4,0,29.0,3,2.0,20,12,7,1969,No
14240,55,No,travel rarely,1136.0,1,4,life sciences,2,Male,81,4,4, research director ,4,divorced,48620.0,12414,2,No,13,3.0,4,2,31.0,4,4.0,7,0,0,1968,Yes
14570,46,Yes,travel rarely,377.0,9,3,marketing,1,Male,52,3,3, sales executive ,4,divorced,48620.0,15986,4,No,11,3.0,1,1,28.0,1,4.0,7,4,3,1977,Yes
14600,45,No,travel rarely,1038.0,20,3,medical,2,Male,95,1,3, healthcare representative ,1,married,108510.0,19863,2,Yes,18,3.0,2,1,10.0,2,3.0,7,0,7,1978,No
14840,49,No,travel rarely,1490.0,7,4,life sciences,3,Male,35,3,3, healthcare representative ,2,divorced,104660.0,20948,3,No,14,3.0,2,2,29.0,3,3.0,8,0,7,1974,No
14970,29,No,travel rarely,1246.0,19,3,life sciences,3,Male,77,2,2, sales executive ,3,married,48620.0,23757,1,No,14,3.0,3,2,10.0,3,3.0,10,0,4,1994,Yes
15220,29,Yes,travel rarely,224.0,1,4,technical degree,1,Male,100,2,1, research scientist ,1,single,23620.0,7568,6,No,13,3.0,3,0,10.0,2,1.0,9,0,7,1994,Yes
15440,29,No,travel rarely,441.0,8,1,other,3,Female,39,1,2, healthcare representative ,1,married,48620.0,7288,3,No,13,3.0,3,1,9.0,3,3.0,7,0,7,1994,Yes
15720,53,Yes,travel rarely,607.0,2,5,life sciences,3,Female,78,2,3, manufacturing director ,4,married,48620.0,14618,0,No,16,3.0,2,1,10.0,4,3.0,33,1,9,1970,Yes
16080,44,No,travel rarely,1313.0,7,3,medical,2,Female,31,3,5, research director ,4,married,48620.0,3549,0,Yes,14,3.2,4,1,10.0,4,2.0,22,1,10,1979,No
16110,45,No,travel rarely,1015.0,5,5,life sciences,3,Female,50,1,2, laboratory technician ,1,married,57690.0,23447,1,No,14,3.0,1,0,10.0,3,3.0,10,1,4,1978,No
16120,45,No,non travel,803.1,26,3,marketing,1,Male,52,2,2, sales executive ,1,married,43850.0,24162,1,No,15,3.2,1,1,10.0,2,2.8,10,4,5,1978,No
16150,34,No,travel frequently,426.0,10,4,life sciences,3,Male,42,4,2, manufacturing director ,4,married,48620.0,17000,1,No,13,3.0,1,1,9.0,3,2.8,9,7,2,1989,Yes
16190,27,No,travel rarely,1302.0,36,3,life sciences,36,Male,0,2,1, laboratory technician ,1,divorced,40660.0,16290,1,No,11,3.0,1,2,7.0,3,3.0,7,0,7,1996,Yes
16350,45,No,travel rarely,1329.0,2,2,life sciences,4,Female,59,2,2, manufacturing director ,4,divorced,48620.0,5388,1,No,19,3.0,1,2,10.0,3,3.0,10,3,9,1978,Yes
16420,44,No,travel rarely,602.0,1,5,life sciences,1,Male,37,3,2, human resources ,4,married,48620.0,10503,4,Yes,11,3.0,3,0,14.0,3,3.0,10,0,2,1979,Yes
16530,25,No,travel rarely,772.0,2,1,life sciences,4,Male,77,4,2, manufacturing director ,3,divorced,52060.0,4973,1,No,17,3.0,3,2,7.0,6,3.0,7,0,7,1998,No
16910,48,Yes,travel frequently,803.1,7,2,life sciences,4,Female,95,3,1, sales representative ,3,married,26550.0,11740,2,No,11,3.2,3,2,19.0,3,3.0,9,7,7,1975,No
16930,26,No,travel rarely,786.0,7,3,medical,4,Male,76,3,1, laboratory technician ,4,married,25700.0,11925,1,No,20,4.0,3,0,7.0,5,3.0,7,5,7,1997,Yes
17030,44,No,travel rarely,921.0,2,3,life sciences,3,Female,96,4,3, healthcare representative ,4,married,48620.0,14810,1,No,19,3.2,2,1,10.0,2,3.0,8,6,7,1979,Yes
17270,46,No,travel rarely,717.0,13,4,life sciences,3,Male,34,3,2, healthcare representative ,2,single,48620.0,9697,6,No,14,3.0,4,0,19.0,3,3.0,10,0,9,1977,Yes
17280,35,No,travel rarely,1370.0,27,4,life sciences,4,Male,49,3,2, manufacturing director ,3,married,48620.0,5151,2,No,16,3.0,2,1,17.0,3,3.0,7,0,7,1988,Yes
17450,30,No,travel frequently,1312.0,2,4,life sciences,4,Female,78,2,1, research scientist ,1,married,49680.0,26427,0,No,16,3.0,4,0,10.0,2,2.8,9,0,7,1993,No
17540,30,No,travel rarely,979.0,15,2,marketing,3,Male,94,2,3, sales executive ,1,married,48620.0,3088,2,No,11,3.0,1,1,10.0,2,3.0,7,1,7,1993,Yes
17560,33,No,non travel,1283.0,2,3,marketing,4,Female,62,3,2, sales executive ,2,married,51470.0,10697,8,No,15,3.0,4,0,13.0,2,2.0,11,1,7,1990,Yes
17640,32,No,travel rarely,953.0,5,4,life sciences,2,Male,65,3,1, research scientist ,2,single,27180.0,17674,2,No,14,3.0,2,0,12.0,3,3.0,7,0,7,1991,Yes
17780,43,No,travel rarely,244.0,2,3,life sciences,2,Male,97,3,1, human resources ,4,married,35390.0,5033,0,No,13,3.0,2,0,10.0,5,3.0,9,1,8,1980,No
17970,35,Yes,travel rarely,303.0,27,3,life sciences,3,Male,84,3,2, sales executive ,4,married,58130.0,13492,1,No,18,3.0,4,0,10.0,2,3.0,10,7,7,1988,No
18040,35,No,non travel,1180.0,2,2,medical,2,Male,90,3,2, manufacturing director ,4,divorced,48620.0,24442,2,No,14,3.0,3,1,15.0,6,3.0,7,1,7,1988,No
18160,30,No,travel rarely,1092.0,10,3,medical,1,Female,64,3,3, manufacturing director ,3,single,96670.0,2739,9,No,14,3.0,2,0,9.0,3,3.0,7,0,2,1993,No
18210,46,Yes,travel rarely,261.0,19,2,medical,4,Female,66,3,2, healthcare representative ,2,married,48620.0,10842,4,No,22,4.0,4,1,13.0,2,4.0,9,3,7,1977,No
18490,43,No,travel frequently,1422.0,2,4,life sciences,1,Male,92,3,2, sales executive ,4,married,56750.0,19246,1,No,20,4.0,3,1,7.0,5,3.0,7,7,7,1980,No
18690,46,Yes,travel rarely,803.1,10,3,life sciences,3,Female,64,3,3, sales executive ,2,married,73140.0,14011,5,No,21,4.0,3,3,14.0,2,3.0,8,0,7,1977,Yes
18980,27,No,travel rarely,511.0,2,2,life sciences,1,Female,89,4,2, sales executive ,3,single,48620.0,26997,0,No,14,3.0,2,0,9.0,5,2.0,8,0,7,1996,No
19110,42,No,travel rarely,1396.0,6,3,medical,3,Male,83,3,3, research director ,1,married,48620.0,14842,9,No,13,3.0,2,1,18.0,3,4.0,13,5,7,1981,Yes
19270,28,No,travel frequently,803.1,1,2,life sciences,3,Male,42,2,2, sales executive ,4,married,48620.0,19255,1,No,12,3.0,3,1,7.0,2,3.0,7,0,7,1995,Yes
19340,47,No,travel rarely,1169.0,14,4,life sciences,3,Male,64,3,2, research scientist ,2,married,48620.0,2125,8,No,18,3.0,3,1,10.0,4,4.0,8,1,7,1976,No
19510,34,No,travel rarely,1239.0,13,4,medical,4,Male,39,3,3, sales executive ,3,divorced,48620.0,22914,1,No,18,3.0,3,1,9.0,2,2.0,8,1,1,1989,Yes
19520,26,No,travel rarely,157.0,1,3,medical,3,Male,95,3,1, laboratory technician ,1,single,48620.0,20006,0,No,13,3.0,4,0,8.0,6,2.8,7,7,6,1997,Yes
19650,27,No,travel rarely,954.0,9,3,life sciences,4,Male,44,3,2, sales executive ,4,married,48620.0,5099,1,No,14,3.0,1,0,10.0,5,2.8,7,0,7,1996,No
19670,31,Yes,travel frequently,754.0,26,4,marketing,1,Male,63,3,2, sales executive ,4,married,48620.0,21075,1,Yes,11,3.0,3,0,10.0,4,3.0,10,0,8,1992,Yes
19790,31,No,travel rarely,697.0,10,3,life sciences,3,Female,40,3,3, research director ,3,married,48620.0,26862,4,No,20,4.0,3,1,13.0,2,4.0,11,4,8,1992,Yes
20080,35,No,travel rarely,1395.0,9,4,medical,2,Male,48,3,2, research scientist ,3,married,50980.0,18698,1,No,19,3.0,2,0,10.0,5,3.0,10,0,8,1988,Yes
20090,33,No,travel rarely,501.0,15,2,life sciences,2,Female,95,3,2, healthcare representative ,4,married,48620.0,21653,0,Yes,13,3.2,1,1,10.0,6,3.0,9,8,1,1990,Yes
20140,39,No,travel rarely,116.0,24,1,life sciences,1,Male,52,3,2, research scientist ,4,single,48620.0,5340,7,No,13,3.2,1,0,10.0,2,3.0,7,1,7,1984,No
20340,41,No,travel rarely,582.0,28,4,life sciences,1,Female,60,2,4, manufacturing director ,2,married,135700.0,5640,0,No,23,3.2,3,1,21.0,3,3.0,20,0,10,1982,Yes
20350,34,No,travel rarely,704.0,28,3,marketing,4,Female,95,2,2, sales executive ,3,married,67120.0,8978,1,No,21,4.0,4,2,8.0,2,3.0,8,1,7,1989,No
20620,39,No,travel rarely,613.0,6,1,life sciences,4,Male,42,2,3, healthcare representative ,1,married,99910.0,21457,4,No,15,3.0,1,1,10.0,5,3.0,7,1,7,1984,Yes
280,34,No,travel rarely,419.0,7,4,life sciences,1,Female,53,3,3, research director ,2,single,48620.0,21293,0,No,11,3.2,3,0,10.0,4,3.0,12,2,11,1989,No
620,46,No,travel rarely,1211.0,5,4,life sciences,1,Male,98,3,2, sales executive ,4,single,48620.0,20445,4,No,21,3.2,3,0,14.0,4,3.0,9,0,8,1977,Yes
1990,41,No,travel frequently,857.0,10,3,life sciences,4,Male,91,2,4, manager ,1,divorced,48620.0,12888,4,No,13,3.0,2,1,10.0,2,2.0,7,7,7,1982,No
3430,39,No,travel rarely,505.0,2,4,life sciences,3,Female,64,3,3, healthcare representative ,3,single,109380.0,6420,0,No,25,4.0,4,0,20.0,1,3.0,19,11,8,1984,No
3510,42,No,travel rarely,269.0,2,3,medical,4,Female,56,2,1, laboratory technician ,1,divorced,25930.0,8007,0,Yes,11,3.0,3,1,10.0,4,3.0,9,7,8,1981,Yes
4280,33,No,travel frequently,553.0,5,4,life sciences,4,Female,74,3,3, manager ,2,married,118780.0,23364,6,No,11,3.2,2,2,12.0,2,3.0,10,8,8,1990,Yes
4640,35,No,travel rarely,1296.0,5,4,technical degree,3,Male,62,3,3, manufacturing director ,2,single,80950.0,18264,0,No,13,3.0,4,0,17.0,5,3.0,16,0,13,1988,Yes
7310,41,No,travel rarely,427.0,10,4,human resources,2,Male,73,2,5, manager ,4,divorced,48620.0,8861,3,No,15,3.0,2,3,23.0,2,2.0,21,12,6,1982,No
7640,27,No,travel rarely,975.0,7,3,life sciences,4,Female,55,2,2, healthcare representative ,1,married,48620.0,23398,8,No,19,3.0,1,0,10.0,2,1.0,7,0,7,1996,No
8510,51,No,travel rarely,1318.0,26,4,marketing,1,Female,66,3,4, manager ,3,married,48620.0,5594,2,No,14,3.0,3,1,10.0,2,2.0,20,4,17,1972,No
9030,47,No,travel rarely,249.0,2,2,marketing,3,Female,35,3,2, sales executive ,4,married,45370.0,17783,0,No,22,4.0,1,1,8.0,2,3.0,7,7,7,1976,Yes
9050,50,No,non travel,881.0,2,4,life sciences,1,Male,98,3,4, manager ,1,divorced,179240.0,4544,1,No,11,3.0,4,1,31.0,3,3.0,31,14,7,1973,No
9420,35,No,travel rarely,1137.0,21,1,life sciences,4,Female,51,3,2, healthcare representative ,4,married,40140.0,19170,1,No,25,4.0,4,1,10.0,2,1.0,10,0,7,1988,Yes
10260,39,No,travel rarely,466.0,1,1,life sciences,4,Female,65,2,4, manufacturing director ,4,married,127420.0,7060,1,No,16,3.0,3,1,10.0,3,3.0,21,11,8,1984,Yes
10850,41,No,travel rarely,509.0,7,2,life sciences,2,Female,43,4,1, research scientist ,3,married,33760.0,18863,1,No,13,3.0,3,0,10.0,3,3.0,10,0,8,1982,No
11090,42,No,travel rarely,469.0,2,2,medical,4,Male,35,3,4, manager ,1,married,48620.0,14399,0,No,17,3.0,4,1,23.0,3,3.0,22,13,7,1981,No
11180,52,No,travel rarely,994.0,7,4,life sciences,2,Male,87,3,3, healthcare representative ,2,single,48620.0,15322,7,No,19,3.0,4,0,18.0,4,2.8,8,4,0,1971,Yes
11520,38,No,travel rarely,433.0,1,3,life sciences,3,Male,37,4,1, human resources ,3,married,48620.0,6004,1,No,13,3.0,4,1,7.0,2,4.0,7,5,0,1985,Yes
13500,35,No,travel rarely,482.0,4,4,life sciences,3,Male,87,3,2, research scientist ,3,single,42490.0,2690,1,No,11,3.0,2,0,10.0,3,3.0,9,1,1,1988,No
15140,28,No,travel rarely,1083.0,29,1,life sciences,3,Male,96,1,2, manufacturing director ,2,married,65490.0,3173,1,No,14,3.2,2,2,8.0,2,2.0,8,1,7,1995,Yes
15230,44,No,travel rarely,136.0,28,3,life sciences,4,Male,32,3,4, research director ,1,married,48620.0,22074,3,No,13,3.0,3,1,10.0,1,4.0,20,14,17,1979,Yes
15390,50,No,travel rarely,333.0,22,5,life sciences,3,Male,88,1,4, research director ,4,married,144110.0,24450,1,No,13,3.0,4,0,10.0,2,3.0,32,13,9,1973,No
15880,39,No,travel rarely,1462.0,6,3,life sciences,4,Male,38,4,3, sales executive ,3,married,82370.0,4658,2,No,11,3.0,1,1,11.0,3,3.0,7,7,6,1984,Yes
16170,49,No,travel rarely,722.0,13,4,life sciences,13,Female,84,3,1, laboratory technician ,1,married,32110.0,22102,1,No,14,3.0,4,1,10.0,3,2.0,9,1,4,1974,Yes
17190,45,No,travel rarely,803.1,28,2,technical degree,4,Female,48,2,4, research director ,2,single,167040.0,17119,1,No,11,3.2,3,0,21.0,2,3.0,21,8,6,1978,No
18700,27,No,travel rarely,1131.0,15,3,life sciences,4,Female,77,2,1, research scientist ,1,married,47740.0,23844,0,No,19,3.0,4,1,10.0,2,2.8,7,7,3,1996,No
20310,42,No,travel rarely,300.0,2,3,life sciences,1,Male,56,3,5, manager ,3,married,48620.0,17312,5,No,11,3.0,1,0,24.0,2,2.0,22,4,14,1981,Yes
20650,49,No,travel rarely,1023.0,2,3,life sciences,4,Male,63,2,2, sales executive ,2,married,48620.0,13243,2,No,14,3.0,4,0,17.0,3,2.0,9,0,8,1974,Yes
150,29,No,travel rarely,153.0,15,2,life sciences,4,Female,49,2,2, laboratory technician ,3,single,48620.0,12682,0,Yes,12,3.0,4,0,10.0,3,3.0,9,0,8,1994,Yes
600,34,No,non travel,1065.0,12,4,marketing,12,Male,72,3,2, sales executive ,3,married,45680.0,10034,0,No,20,4.0,3,0,10.0,2,3.0,9,8,7,1989,No
850,36,No,travel rarely,1195.0,11,3,life sciences,2,Male,95,2,2, manufacturing director ,2,single,64990.0,22656,1,No,13,3.0,3,0,6.0,3,3.0,6,0,3,1987,Yes
3460,29,No,travel rarely,665.0,15,3,life sciences,3,Male,60,3,1, research scientist ,4,married,48620.0,22673,1,No,19,3.0,1,0,6.0,1,3.0,6,1,5,1994,No
3840,26,No,travel rarely,1479.0,1,3,life sciences,3,Female,84,3,2, manufacturing director ,2,married,63970.0,26767,1,No,20,4.0,1,1,6.0,6,1.0,6,1,4,1997,No
4980,28,No,travel rarely,304.0,9,4,life sciences,2,Male,92,3,2, sales executive ,4,single,48620.0,20750,1,No,16,3.0,4,0,10.0,1,3.0,7,0,7,1995,Yes
5510,42,No,travel frequently,1368.0,30,4,technical degree,4,Female,0,2,2, healthcare representative ,4,married,48620.0,4386,0,No,11,3.0,4,3,7.0,4,4.0,6,0,4,1981,Yes
6040,31,No,travel rarely,828.0,2,1,life sciences,2,Male,77,3,2, sales executive ,4,married,48620.0,8346,4,Yes,13,3.0,3,0,10.0,2,4.0,6,0,5,1992,Yes
6260,37,No,non travel,142.0,9,4,life sciences,1,Male,69,3,3, sales executive ,2,divorced,48620.0,24666,1,No,13,3.0,4,1,9.0,6,3.0,9,7,7,1986,No
6440,50,No,travel rarely,1246.0,3,3,life sciences,1,Male,99,3,5, manager ,2,married,48620.0,7999,1,No,11,3.0,3,1,10.0,2,3.0,32,10,7,1973,No
6490,34,No,travel rarely,254.0,1,2,life sciences,2,Male,83,2,1, research scientist ,4,married,36220.0,22794,1,Yes,13,3.0,4,1,6.0,3,3.0,6,1,3,1989,Yes
7140,27,No,travel frequently,1410.0,3,1,medical,4,Female,71,4,2, sales executive ,4,married,48620.0,16673,1,No,20,3.2,2,2,10.0,3,3.0,6,0,4,1996,No
7810,25,No,travel rarely,883.0,42,1,life sciences,42,Female,32,3,2, sales executive ,4,single,61800.0,22807,1,No,23,4.0,2,0,6.0,5,2.0,6,1,4,1998,No
8040,34,No,travel rarely,121.0,2,4,life sciences,3,Female,86,2,1, research scientist ,1,married,43810.0,7530,1,No,11,3.2,3,0,6.0,3,3.0,6,1,3,1989,Yes
8560,35,No,travel rarely,1343.0,16,1,medical,16,Female,53,2,1, research scientist ,1,married,25590.0,17852,1,No,11,3.0,4,0,6.0,3,2.0,6,1,1,1988,No
9980,33,No,travel rarely,827.0,1,4,life sciences,3,Female,84,4,2, healthcare representative ,2,married,54880.0,20161,1,Yes,13,3.0,1,1,10.0,2,3.0,6,1,2,1990,Yes
11200,29,No,travel rarely,1107.0,28,4,life sciences,3,Female,93,3,1, research scientist ,4,divorced,25140.0,26968,4,No,22,4.0,1,1,11.0,1,3.0,7,1,7,1994,No
11430,29,No,travel frequently,490.0,10,3,life sciences,4,Female,61,3,1, research scientist ,2,divorced,48620.0,17940,0,No,14,3.0,4,2,8.0,2,2.0,7,1,1,1994,Yes
12510,31,No,travel rarely,1332.0,11,2,life sciences,3,Male,80,3,2, healthcare representative ,1,married,48620.0,17089,1,Yes,12,3.2,4,0,6.0,2,2.0,6,0,1,1992,No
14380,47,No,travel rarely,465.0,1,3,life sciences,1,Male,74,3,1, research scientist ,4,married,34200.0,10205,7,No,12,3.0,3,1,17.0,2,2.0,6,1,2,1976,Yes
15740,32,No,travel rarely,1200.0,1,4,life sciences,4,Male,0,3,2, research scientist ,1,married,40870.0,25174,4,No,14,3.0,2,1,9.0,3,2.0,6,1,2,1991,Yes
16710,32,No,travel rarely,977.0,2,3,medical,4,Male,45,3,2, research scientist ,2,divorced,48620.0,25518,0,No,13,3.0,3,2,10.0,4,2.0,9,1,6,1991,Yes
940,29,No,travel rarely,1328.0,2,3,life sciences,3,Male,76,3,1, research scientist ,2,married,48620.0,4956,0,No,23,4.0,4,1,10.0,3,3.0,5,0,4,1994,No
1120,56,No,travel rarely,803.1,13,3,life sciences,4,Male,0,1,3, manufacturing director ,4,married,48620.0,21698,4,No,11,3.0,1,0,37.0,3,2.0,6,0,2,1967,Yes
1290,28,No,travel rarely,120.0,4,3,medical,2,Male,43,3,2, sales executive ,3,married,42210.0,8863,1,No,15,3.0,2,0,5.0,3,4.0,5,0,4,1995,Yes
1420,25,Yes,travel rarely,240.0,5,3,life sciences,3,Male,46,2,2, sales executive ,3,single,48620.0,26959,1,Yes,11,3.0,4,0,10.0,1,3.0,6,0,3,1998,Yes
1610,56,Yes,travel rarely,441.0,14,4,life sciences,2,Female,72,3,1, research scientist ,2,married,49630.0,4510,9,No,18,3.0,1,3,7.0,2,3.0,5,4,3,1967,Yes
1640,26,No,travel rarely,841.0,6,3,life sciences,3,Female,46,2,1, research scientist ,2,married,48620.0,23300,1,No,19,3.0,3,0,5.0,3,2.0,5,4,3,1997,No
1900,32,Yes,travel rarely,1033.0,9,3,medical,1,Female,41,3,1, laboratory technician ,1,married,42000.0,10224,7,No,22,4.0,1,0,10.0,2,4.0,5,0,4,1991,No
1940,30,No,travel rarely,803.1,18,3,life sciences,1,Female,75,3,1, research scientist ,3,single,48620.0,23910,1,No,14,3.0,3,0,10.0,4,2.0,5,0,4,1993,Yes
2260,50,No,travel rarely,1452.0,11,3,life sciences,3,Female,53,3,5, manager ,2,married,48620.0,17053,3,No,15,3.0,2,0,10.0,5,3.0,5,4,4,1973,No
2310,32,No,travel rarely,120.0,6,5,life sciences,3,Male,43,3,1, research scientist ,3,married,48620.0,12430,3,No,20,4.0,1,0,8.0,2,2.8,5,1,4,1991,No
2400,45,No,travel rarely,1268.0,4,2,life sciences,3,Female,30,3,2, sales executive ,1,married,50060.0,6319,4,No,11,3.0,1,1,9.0,3,4.0,5,0,3,1978,No
2620,43,No,travel rarely,803.1,7,3,life sciences,4,Male,37,4,1, research scientist ,4,divorced,48620.0,5228,4,No,14,3.0,4,3,7.0,3,4.0,5,2,2,1980,Yes
2830,29,Yes,travel rarely,121.0,27,3,marketing,2,Female,35,3,3, sales executive ,4,married,76390.0,24525,1,No,22,4.0,4,3,10.0,3,2.0,10,1,9,1994,Yes
3080,31,No,non travel,803.1,1,4,medical,3,Male,90,1,2, manufacturing director ,3,married,48620.0,4381,0,No,12,3.0,4,1,6.0,2,3.0,5,1,4,1992,Yes
3250,33,Yes,travel rarely,813.0,14,3,life sciences,3,Male,58,3,1, laboratory technician ,4,married,48620.0,22149,5,Yes,13,3.0,3,1,8.0,2,1.0,5,0,4,1990,No
3550,31,Yes,travel rarely,307.0,29,2,life sciences,3,Male,71,2,1, laboratory technician ,2,married,48620.0,11652,0,No,11,3.0,2,0,10.0,2,4.0,5,1,4,1992,Yes
3780,37,No,travel rarely,228.0,6,4,life sciences,3,Male,0,3,2, sales executive ,4,married,65020.0,22825,4,No,14,3.0,2,1,10.0,5,4.0,5,0,1,1986,Yes
4490,27,No,non travel,210.0,1,1,marketing,3,Male,73,3,2, sales executive ,2,married,63490.0,22107,0,Yes,13,3.0,4,1,10.0,0,2.8,5,1,4,1996,Yes
4660,41,No,travel rarely,483.0,6,3,life sciences,4,Male,0,2,2, manufacturing director ,2,single,48620.0,10110,6,Yes,15,3.0,4,0,10.0,3,3.0,5,1,2,1982,Yes
4860,37,No,travel rarely,921.0,10,3,medical,3,Female,98,3,1, laboratory technician ,1,married,48620.0,17663,6,No,20,4.0,2,1,10.0,3,3.0,5,0,3,1986,Yes
4920,40,Yes,travel rarely,575.0,22,2,life sciences,22,Male,68,2,2, sales executive ,3,married,63800.0,6110,2,Yes,12,3.0,1,2,8.0,6,3.0,6,1,0,1983,Yes
5050,55,No,travel rarely,1311.0,2,3,life sciences,3,Female,97,3,4, manager ,4,single,48620.0,23258,2,Yes,13,3.0,3,0,10.0,2,3.0,5,1,2,1968,No
5100,26,Yes,travel frequently,575.0,3,1,life sciences,3,Male,73,3,1, research scientist ,1,married,31020.0,6582,0,No,22,4.0,3,0,10.0,2,3.0,6,0,4,1997,Yes
5270,25,No,travel rarely,891.0,4,2,life sciences,2,Female,99,2,2, sales executive ,4,single,48620.0,12090,1,Yes,11,3.0,2,0,5.0,3,3.0,5,1,3,1998,No
5470,42,No,travel frequently,532.0,12,2,life sciences,1,Female,92,3,2, research scientist ,3,married,45560.0,12932,2,No,11,3.0,2,1,19.0,3,3.0,5,0,2,1981,No
5480,30,No,travel rarely,317.0,2,3,life sciences,3,Female,43,1,2, manufacturing director ,4,married,48620.0,24793,2,No,20,4.0,3,0,11.0,2,3.0,5,0,2,1993,Yes
5770,35,No,travel rarely,144.0,22,3,life sciences,4,Male,46,1,1, laboratory technician ,3,single,42300.0,19225,0,No,15,3.0,3,0,10.0,2,3.0,5,4,3,1988,No
6790,32,No,travel rarely,646.0,9,4,life sciences,1,Female,92,3,2, research scientist ,4,married,63220.0,18089,1,No,12,3.0,4,1,6.0,2,2.8,6,0,5,1991,No
7850,47,Yes,travel rarely,719.0,27,2,life sciences,2,Female,77,4,2, sales executive ,3,married,48620.0,10339,4,Yes,12,3.0,4,0,8.0,2,3.0,5,1,3,1976,No
8610,30,No,travel frequently,1012.0,5,4,life sciences,2,Male,0,2,1, research scientist ,4,divorced,48620.0,2373,9,No,12,3.0,2,1,10.0,3,2.0,5,0,3,1993,Yes
8640,45,No,travel rarely,930.0,9,3,marketing,4,Male,74,3,3, sales executive ,1,divorced,107610.0,19239,4,Yes,12,3.0,3,1,18.0,2,3.0,5,0,2,1978,No
8780,36,No,travel rarely,1278.0,8,3,life sciences,1,Male,77,2,1, human resources ,1,married,48620.0,8635,0,No,21,4.0,3,0,10.0,3,3.0,5,0,3,1987,Yes
8950,31,No,travel rarely,1222.0,11,4,life sciences,4,Male,48,3,1, research scientist ,4,married,48620.0,14871,3,No,19,3.0,2,1,10.0,2,3.0,6,0,2,1992,Yes
9000,37,No,travel frequently,1231.0,21,2,medical,3,Female,54,3,1, sales representative ,4,married,29730.0,21222,5,No,15,3.0,2,1,10.0,3,3.0,5,0,0,1986,No
9360,42,No,travel rarely,462.0,14,2,life sciences,3,Female,68,2,2, sales executive ,3,married,48620.0,7824,7,No,17,3.0,1,0,10.0,6,3.0,5,0,3,1981,Yes
9970,50,No,travel rarely,803.1,1,2,medical,4,Male,66,3,4, research director ,4,divorced,173990.0,6615,9,No,22,3.2,3,1,32.0,1,2.0,5,1,3,1973,Yes
10480,59,No,travel rarely,1089.0,1,2,life sciences,2,Male,66,3,3, manager ,4,married,48620.0,11038,3,Yes,14,3.0,3,1,14.0,1,1.0,6,0,4,1964,Yes
10710,56,No,travel rarely,1240.0,9,3,medical,1,Female,63,3,1, research scientist ,3,married,48620.0,12154,2,No,19,3.0,2,1,18.0,4,3.0,5,0,3,1967,No
11160,48,No,travel rarely,1262.0,1,4,life sciences,1,Male,35,4,4, manager ,4,single,168850.0,16154,2,No,22,3.2,3,0,10.0,3,2.0,5,2,1,1975,Yes
11320,39,No,travel rarely,439.0,9,3,life sciences,3,Male,70,3,2, laboratory technician ,2,single,48620.0,8770,9,No,15,3.0,3,0,9.0,2,2.0,5,0,3,1984,No
